PMID,Model,Type,Gold_Standard,Predicted,TP,FN,FP
25369243,LLM,interventions,"Atomoxetine | atomoxetine | of atomoxetine | double-blind placebo-controlled | treatment , atomoxetine | of atomoxetine | However , atomoxetine",1.2 mg/kg/day of atomoxetine | atomoxetine administration | 8 week double-blind placebo-controlled period,3,3,0
25369243,NER,interventions,"Atomoxetine | atomoxetine | of atomoxetine | double-blind placebo-controlled | treatment , atomoxetine | of atomoxetine | However , atomoxetine",atomoxetine | atomoxetine | atomoxetine | placebo | atomoxetine | atomoxetine | atomoxetine,2,4,0
25369243,LLM,outcomes,"social functioning ; | stereotyped behaviors , inappropriate speech , and fear of change . | effects | measures , the Aberrant Behavior Checklist ( ABC ) and the Children 's Social Behavior Questionnaire ( CSBQ ) | the ABC subscales Hyperactivity , Inappropriate Speech , and Stereotypic Behavior | the CSBQ subscale Fear for Changes | ameliorate restricted and stereotyped behaviors and communication",no effects on social functioning | some beneficial effects on stereotyped behaviors | inappropriate speech | fear of change | significant treatment effects on the ABC subscales Hyperactivity | Inappropriate Speech | Stereotypic Behavior | and on the CSBQ subscale Fear for Changes,5,2,3
25369243,NER,outcomes,"social functioning ; | stereotyped behaviors , inappropriate speech , and fear of change . | effects | measures , the Aberrant Behavior Checklist ( ABC ) and the Children 's Social Behavior Questionnaire ( CSBQ ) | the ABC subscales Hyperactivity , Inappropriate Speech , and Stereotypic Behavior | the CSBQ subscale Fear for Changes | ameliorate restricted and stereotyped behaviors and communication",social functioning | stereotyped behaviors inappropriate speech and fear of change | aberrant behavior checklist ( abc ) and the children 's social behavior questionnaire ( csbq | abc subscales hyperactivity inappropriate speech and stereotypic behavior | csbq subscale fear for changes | social functioning | restricted and stereotyped behaviors and communication,6,1,0
17321989,LLM,participants,patients with acute myeloid leukemia and myelodysplastic syndromes : | Japanese | patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy . | patients with AML or MDS who received chemotherapy,patients with acute myeloid leukemia | patients with myelodysplastic syndromes | patients with AML or MDS | patients with neutrophil counts of > 0.1 x 10 ( 9 ) /L,3,1,1
17321989,NER,participants,patients with acute myeloid leukemia and myelodysplastic syndromes : | Japanese | patients with acute myeloid leukemia ( AML ) or myelodysplastic syndromes ( MDS ) during and after chemotherapy . | patients with AML or MDS who received chemotherapy,patients with acute myeloid leukemia and myelodysplastic syndromes | japanese multicenter | study | n = 110 | n = 108 | patients with acute myeloid leukemia ( aml ) or myelodysplastic syndromes ( mds ) during and after chemotherapy | patients with mds | with | patients with | of | 0.1 x 10 ( 9 ) /l | weeks | patients with aml or mds who received chemotherapy,4,0,9
17321989,LLM,interventions,itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole | itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole .,itraconazole capsules | fluconazole capsules | capsule forms of fluconazole | capsule forms of itraconazole,3,0,1
17321989,NER,interventions,itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole | itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole .,itraconazole capsules | fluconazole capsules | fluconazole | itraconazole | itraconazole | fluconazole | itraconazole | fluconazole | fluconazole | itraconazole | itraconazole | fluconazole,3,0,1
17321989,LLM,outcomes,prophylactic effect | prophylactic effects | Adverse events | cases with probable or possible infections | frequency of infection | efficacy,systemic fungal infections | possible systemic fungal infection | probable cases | adverse events | infection,2,4,3
17321989,NER,outcomes,prophylactic effect | prophylactic effects | Adverse events | cases with probable or possible infections | frequency of infection | efficacy,infections | systemic fungal infection | adverse events | probable or possible infections | frequency of infection | efficacy | systemic,4,2,3
8779382,LLM,participants,82 patients having postoperative epidural analgesia,,0,1,0
8779382,NER,participants,82 patients having postoperative epidural analgesia,82 patients having postoperative epidural analgesia,1,0,0
8779382,LLM,interventions,tunnelling | tunnelling | Tunnelling | tunnelled catheters | non-tunnelled catheters | tunnelling .,,0,5,0
8779382,NER,interventions,tunnelling | tunnelling | Tunnelling | tunnelled catheters | non-tunnelled catheters | tunnelling .,ling | tunnelling | epidural catheter | tunnel | adhesive dressing | non | tunnelling,3,2,3
8779382,LLM,outcomes,effect | migration . | incidence of inward migration | position | catheter migration,,0,5,0
8779382,NER,outcomes,effect | migration . | incidence of inward migration | position | catheter migration,epidural catheter migration | inward migration | outward catheter migration,3,2,0
16295154,LLM,participants,parents of children with autistic spectrum disorder . Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD ) | parents of children with ASD,,0,2,0
16295154,NER,participants,parents of children with autistic spectrum disorder . Parents of children who receive the diagnosis of autistic spectrum disorder ( ASD ) | parents of children with ASD,parents of children with autistic spectrum disorder . parents of children who receive the diagnosis of autistic spectrum disorder ( asd | n = 31 | regional diagnostic center of a large metropolitan children 's hospital | parents of children with asd | parents | parents,2,0,3
16295154,LLM,interventions,"Intervention | nursing intervention | post-diagnosis nursing intervention | usual care | contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan . | usual care | consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan | nursing intervention | nursing intervention .",,0,7,0
16295154,NER,interventions,"Intervention | nursing intervention | post-diagnosis nursing intervention | usual care | contact with a pediatric nurse practitioner ( PNP ) for counseling , instruction , and assistance with implementation of the recommended treatment plan . | usual care | consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan | nursing intervention | nursing intervention .",nursing intervention | post-diagnosis nursing intervention | usual care plus 3 hours contact with a pediatric nurse practitioner ( pnp ) for counseling instruction and assistance with implementation of the recommended treatment plan | control | the usual care post-diagnosis which consisted of a 1-hour consultation session to receive the results of diagnostic tests and a written copy of the recommended treatment plan provided by a developmental pediatrician and/or pnp,4,3,1
16295154,LLM,outcomes,"effects | parents ' reports of stress , impact of event ( diagnosis ) , and use of services | "" impact of event "" | "" perceived stress """,,0,4,0
16295154,NER,outcomes,"effects | parents ' reports of stress , impact of event ( diagnosis ) , and use of services | "" impact of event "" | "" perceived stress ""","stress impact of event ( diagnosis ) and use of services | impact of event "" and "" perceived stress",2,2,0
23392542,LLM,participants,"early-stage diabetic nephropathy patients | diabetic nephropathy | Type 2 diabetic patients ( N.=57 ) were divided | Diabetic nephropathy patients | type 2 diabetes mellitus patients "" with nephropathy "" | patients with nephropathy",Type 2 diabetic patients | diabetic nephropathy patients | patients with nephropathy | type 2 diabetes mellitus patients,4,2,0
23392542,NER,participants,"early-stage diabetic nephropathy patients | diabetic nephropathy | Type 2 diabetic patients ( N.=57 ) were divided | Diabetic nephropathy patients | type 2 diabetes mellitus patients "" with nephropathy "" | patients with nephropathy","early-stage diabetic nephropathy patients | type 2 diabetic patients ( n.=57 ) were divided into two groups as "" with nephropathy "" ( n.=27 ) and "" without nephropathy "" ( n.=30 | diabetic nephropathy patients | type 2 diabetes mellitus patients "" with nephropathy | without",4,2,1
23392542,LLM,interventions,thiamine | pyridoxine | thiamine ( vitamin B1 ) | pyridoxine ( vitamin B6 ) | B6 | B1+B6 | B1+B6 | B6 . | B6 | B1+B6 | B6 | B1+B6 | B6,"thiamine and pyridoxine therapy | thiamine ( vitamin B1 ) | pyridoxine ( vitamin B6 ) | B6 ( 250 mg/day ) | B1+B6 ( 250 mg/day , each )",4,3,1
23392542,NER,interventions,thiamine | pyridoxine | thiamine ( vitamin B1 ) | pyridoxine ( vitamin B6 ) | B6 | B1+B6 | B1+B6 | B6 . | B6 | B1+B6 | B6 | B1+B6 | B6,thiamine and pyridoxine therapy | thiamine ( vitamin b1 ) and pyridoxine ( vitamin b6 ) therapy | b6 | b1+b6 | b1+b6 | b6 | b6 | b1+b6 | b6 | b1+b6 | b6,3,4,1
23392542,LLM,outcomes,"Plasma AGE-peptides and C-peptide | circulatory AGE-peptide levels | glucose , HbA1c , triglyceride , cholesterol , insulin , C-peptide , thiamine pyrophosphate , pyridoxal phosphate and AGE- peptides | AGE-peptides | AGE-peptides | HbA1c | C-peptide | plasma AGE-peptides | AGE-peptides | C-peptide .",circulatory AGE-peptide levels | glucose | HbA1c | triglyceride | cholesterol | insulin | C-peptide | thiamine pyrophosphate | pyridoxal phosphate and AGE- peptides,4,4,5
23392542,NER,outcomes,"Plasma AGE-peptides and C-peptide | circulatory AGE-peptide levels | glucose , HbA1c , triglyceride , cholesterol , insulin , C-peptide , thiamine pyrophosphate , pyridoxal phosphate and AGE- peptides | AGE-peptides | AGE-peptides | HbA1c | C-peptide | plasma AGE-peptides | AGE-peptides | C-peptide .",plasma age-peptides | c-peptide | levels | glucose hba1c triglyceride cholesterol insulin c-peptide thiamine pyrophosphate pyridoxal phosphate and age- peptides | age-peptides | age-peptides | hba1c | c-peptide | plasma age-peptides | age-peptides | c-peptide,6,2,0
8911223,LLM,participants,adults with autistic disorder . | Thirty adults with autistic disorder | autistic disorder in adults .,adults with autistic disorder | Thirty adults with autistic disorder | children and adolescents with autism,2,1,1
8911223,NER,participants,adults with autistic disorder . | Thirty adults with autistic disorder | autistic disorder in adults .,adults with autistic disorder | autistic disorder | thirty adults with autistic disorder | 15 patients | autistic disorder in adults | children and adolescents with autism,3,0,3
8911223,LLM,interventions,fluvoxamine | placebo-controlled | fluvoxamine maleate . | fluvoxamine-treated | placebo | Fluvoxamine | placebo | fluvoxamine | Fluvoxamine | placebo | fluvoxamine,"fluvoxamine | fluvoxamine maleate | a 12-week double-blind, placebo-controlled trial of the potent and selective serotonin uptake inhibitor fluvoxamine maleate | placebo",4,2,0
8911223,NER,interventions,fluvoxamine | placebo-controlled | fluvoxamine maleate . | fluvoxamine-treated | placebo | Fluvoxamine | placebo | fluvoxamine | Fluvoxamine | placebo | fluvoxamine,placebo | fluvoxamine | placebo | potent | serotonin uptake inhibitor fluvoxamine maleate | fluvoxamine | placebo | fluvoxamine | placebo | fluvoxamin | fluvoxamine | placebo | fluvoxamine,4,2,1
8911223,LLM,outcomes,"social interaction , impairments in communication | restricted repertoire of activities and interests . | symptoms | Behavioral ratings | repetitive thoughts and behavior | maladaptive behavior | aggression | social relatedness | language usage | Treatment response | age level of autistic behavior | full-scale IQ . | mild sedation and nausea | dyskinesias , adverse cardiovascular events , or seizures | effective | symptoms",repetitive thoughts and behavior | maladaptive behavior | aggression | some aspects of social relatedness | language usage,5,10,0
8911223,NER,outcomes,"social interaction , impairments in communication | restricted repertoire of activities and interests . | symptoms | Behavioral ratings | repetitive thoughts and behavior | maladaptive behavior | aggression | social relatedness | language usage | Treatment response | age level of autistic behavior | full-scale IQ . | mild sedation and nausea | dyskinesias , adverse cardiovascular events , or seizures | effective | symptoms",ratings | repetitive thoughts and behavior | maladaptive behavior | aggression | aspects of social relatedness | language usage | mild sedation and nausea | dyskinesias adverse cardiovascular events or seizures,8,7,0
8771302,LLM,participants,"90 patients who had aortic , mitral , and/or tricuspid valve replacement with Sorin Bicarbon or CarboMedics bileaflet prostheses .",,0,1,0
8771302,NER,participants,"90 patients who had aortic , mitral , and/or tricuspid valve replacement with Sorin Bicarbon or CarboMedics bileaflet prostheses .",heart valve surgery | 90 patients who had aortic mitral and/or tricuspid valve replacement with sorin bicarbon or carbomedics bileaflet prostheses,1,0,1
8771302,LLM,interventions,bileaflet prostheses : | prosthesis | bileaflet prostheses . | Sorin Bicarbon or CarboMedics bileaflet prostheses . | prostheses | prosthesis ' | Prosthesis,,0,7,0
8771302,NER,interventions,bileaflet prostheses : | prosthesis | bileaflet prostheses . | Sorin Bicarbon or CarboMedics bileaflet prostheses . | prostheses | prosthesis ' | Prosthesis,valve | fluoroscopy | valve | prostheses oriented | perpendicular | parallel position,1,6,4
8771302,LLM,outcomes,Fluoroscopic functional evaluation | feasibility | accuracy | postoperative fluoroscopic evaluation | Fluoroscopic evaluation | valve 's hemodynamic performance was investigated through Doppler study . | fluoroscopic evaluation | hemodynamic performance | rate of success of the fluoroscopic evaluation . | feasibility and accuracy of fluoroscopy | valve 's hemodynamic performance . | fluoroscopic,,0,12,0
8771302,NER,outcomes,Fluoroscopic functional evaluation | feasibility | accuracy | postoperative fluoroscopic evaluation | Fluoroscopic evaluation | valve 's hemodynamic performance was investigated through Doppler study . | fluoroscopic evaluation | hemodynamic performance | rate of success of the fluoroscopic evaluation . | feasibility and accuracy of fluoroscopy | valve 's hemodynamic performance . | fluoroscopic,feasibility | accuracy | hemodynamic performance | proper fluoroscopic evaluation | hemodynamic performance | feasibility | accuracy | fluoroscopy | performance,5,7,1
2066441,LLM,participants,periodontal furcation pockets . 46 upper and lower molars with furcation grade II involvement | 16 patients with periodontal disease .,16 patients with periodontal disease | 46 upper and lower molars with furcation grade II involvement,2,0,0
2066441,NER,participants,periodontal furcation pockets . 46 upper and lower molars with furcation grade II involvement | 16 patients with periodontal disease .,46 upper and lower molars with furcation grade ii involvement were selected from 16 patients with periodontal disease,1,1,0
2066441,LLM,interventions,tetracycline-immobilized collagen film and root planing | tetracycline-immobilized cross-linked collagen film ( TC film ) | root planing treatment ( RP | ( TC + RP | RP | TC + RP | TC + RP | root planning | TC films .,tetracycline-immobilized collagen film | root planing | 4 consecutive administrations of tetracycline-immobilized cross-linked collagen film ( TC film ) at intervals of 1 week | combination treatment ( TC + RP group ),4,4,0
2066441,NER,interventions,tetracycline-immobilized collagen film and root planing | tetracycline-immobilized cross-linked collagen film ( TC film ) | root planing treatment ( RP | ( TC + RP | RP | TC + RP | TC + RP | root planning | TC films .,tetracycline-immobilized collagen film and root planing | 4 | administrations of tetracycline-immobilized cross-linked collagen film ( tc film ) at intervals of 1 week ( tc group | 1 root planing treatment ( rp group | combination treatment ( tc + rp group | no treatment ( control | tc + rp | tc + rp | tc films,6,2,2
2066441,LLM,outcomes,"Therapeutic effects | therapeutic effects | plaque index , gingival index , bleeding on probing , probing depth , probing attachment level and microscopic counts | probing depth and density of micro-organisms | rate of bleeding on pocket probing | probing attachment gain .",plaque index | gingival index | bleeding on probing | probing depth | probing attachment level | microscopic counts | decreased rate of bleeding on pocket probing | increased probing attachment gain,4,2,4
2066441,NER,outcomes,"Therapeutic effects | therapeutic effects | plaque index , gingival index , bleeding on probing , probing depth , probing attachment level and microscopic counts | probing depth and density of micro-organisms | rate of bleeding on pocket probing | probing attachment gain .",plaque index gingival index bleeding on probing probing depth probing attachment level and microscopic counts | probing depth and density of micro-organisms | rate of bleeding on pocket probing | probing attachment gain,4,2,0
6989377,LLM,participants,95 patients with atherosclerotic disease .,,0,1,0
6989377,NER,participants,95 patients with atherosclerotic disease .,95 patients with atherosclerotic disease | patients who are | with,1,0,2
6989377,LLM,interventions,"diet , clofibrate | niceritrol . | clofibrate | niceritrol . | clofibrate | niceritrol | diet , clofibrate | niceritrol | dietary treatment | diet | clofibrate | niceritrol | Clofibrate | clofibrate | clofibrate | diet | clofibrate | diet .",,0,8,0
6989377,NER,interventions,"diet , clofibrate | niceritrol . | clofibrate | niceritrol . | clofibrate | niceritrol | diet , clofibrate | niceritrol | dietary treatment | diet | clofibrate | niceritrol | Clofibrate | clofibrate | clofibrate | diet | clofibrate | diet .",diet clofibrate and niceritrol | clofibrate | niceritrol | lipid-lowering | diet | clofibrate or niceritrol | nicotinic | diet clofibrate | niceritrol | clofibrate | niceritrol | clofibra | clo | bra | clofibrate | diet enriched | polyunsaturated fats | clofibrate,8,0,5
6989377,LLM,outcomes,"Changes in the fatty acid composition of the plasma lipid esters | proportion of linoleate | fatty acid composition of the plasma lipid esters | serum lipid reductions . | fatty acid composition in the plasma lipid esters | degree of dietary adherence . | content of saturated and monounsaturated fatty acids | polyunsaturated fatty acids | ratio between pulyunsaturated and saturated fatty acids ( P/S ratio ) in the cholesterol esters and triglycerides . | phospholipids . | changes of the fatty acid composition . | amounts of monounsaturated fatty acids , especially oleate ( 18 : 1 ) , in the cholesterol esters , triglycerides and phospholipids | content of linoleic ( 18 : 2 ) acid in both the cholesterol esters and triglycerides . | P/S ratio | relative content of saturated fatty acids | change from polyunsaturated to monounsaturated fatty acids in the plasma lipid esters | ratio between polyunsaturated and saturated fatty acids . The fatty acid changes",,0,17,0
6989377,NER,outcomes,"Changes in the fatty acid composition of the plasma lipid esters | proportion of linoleate | fatty acid composition of the plasma lipid esters | serum lipid reductions . | fatty acid composition in the plasma lipid esters | degree of dietary adherence . | content of saturated and monounsaturated fatty acids | polyunsaturated fatty acids | ratio between pulyunsaturated and saturated fatty acids ( P/S ratio ) in the cholesterol esters and triglycerides . | phospholipids . | changes of the fatty acid composition . | amounts of monounsaturated fatty acids , especially oleate ( 18 : 1 ) , in the cholesterol esters , triglycerides and phospholipids | content of linoleic ( 18 : 2 ) acid in both the cholesterol esters and triglycerides . | P/S ratio | relative content of saturated fatty acids | change from polyunsaturated to monounsaturated fatty acids in the plasma lipid esters | ratio between polyunsaturated and saturated fatty acids . The fatty acid changes",serum lipid reductions | content of saturated and monounsaturated fatty acids | polyunsaturated fatty acids | pul unsaturated and saturated fatty acids | p s ratio | monounsaturated fatty acids | linoleic ( 18 | 2 | 18 : 2/18 : 1 ratio | p/s ratio | saturated fatty acids | polyunsaturated | saturated fatty,10,7,3
22744141,LLM,participants,"preschool children who have intellectual disabilities . | preschool children with intellectual disabilities ( IDs ) , including children with Down syndrome and children with autism spectrum disorders . | Seventy-seven children | preschool children who have ID and significant language impairments .",preschool children with intellectual disabilities | children with Down syndrome | children with autism spectrum disorders,2,2,1
22744141,NER,participants,"preschool children who have intellectual disabilities . | preschool children with intellectual disabilities ( IDs ) , including children with Down syndrome and children with autism spectrum disorders . | Seventy-seven children | preschool children who have ID and significant language impairments .",preschool children who have intellectual disabilities | preschool children with intellectual disabilities ( ids ) including children with down syndrome and children with autism spectrum disorders | seventy-seven children | preschool children who have id and significant language impairments,4,0,0
22744141,LLM,interventions,enhanced milieu teaching | enhanced milieu teaching ( EMT ) | ( parent + therapist EMT | therapist-only EMT ) | EMT,parent-implemented enhanced milieu teaching | parent + therapist EMT | therapist-only EMT,3,2,0
22744141,NER,interventions,enhanced milieu teaching | enhanced milieu teaching ( EMT ) | ( parent + therapist EMT | therapist-only EMT ) | EMT,parent-implemented enhanced milieu teaching | enhanced milieu teaching ( emt ) implemented by parents and therapists versus therapists only | parent + therapist emt or therapist-only emt | parent + therapist | therapist | parent | therapist | parents | naturalistic language intervention strategies,5,0,3
22744141,LLM,outcomes,language skills | standardized and observational measure | use of EMT strategies | observational measures,language skills | use of EMT strategies,2,2,0
22744141,NER,outcomes,language skills | standardized and observational measure | use of EMT strategies | observational measures,use of emt strategies,1,3,0
1459268,LLM,participants,in vitro fertilization | in vitro fertilization ( IVF ) | Aberdeen Assisted Reproduction Unit . | Forty-eight patients having IVF for the first time | patients undergoing IVF .,,0,5,0
1459268,NER,participants,in vitro fertilization | in vitro fertilization ( IVF ) | Aberdeen Assisted Reproduction Unit . | Forty-eight patients having IVF for the first time | patients undergoing IVF .,in vitro fertilization ( ivf ) program | aberdeen assisted reproduction unit | forty-eight patients having ivf for the first time | patients undergoing ivf,4,1,0
1459268,LLM,interventions,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a .,,0,3,0
1459268,NER,interventions,gonadotropin-releasing hormone agonist | gonadotropin-releasing hormone agonist ( GnRH-a ) | GnRH-a .,short | gonadotropin-releasing hormone agonist | ultras | regimen | gonadotropin-releasing hormone agonist ( gnrh-a | short | ultrashort regimens | gnrh-a | ultras,3,0,4
1459268,LLM,outcomes,"usefulness | Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . | ovulation induction , fertilization , and pregnancy rates | LH surge . | ovarian stimulation",,0,5,0
1459268,NER,outcomes,"usefulness | Response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( LH ) surges . | ovulation induction , fertilization , and pregnancy rates | LH surge . | ovarian stimulation",response to ovarian stimulation and occurrence of spontaneous luteinizing hormone ( lh ) surges | ovulation induction fertilization and pregnancy rates | lh surge,3,2,0
17293018,LLM,participants,patients with C. difficile-associated diarrhea ( CDAD ) | 77 patients with CDAD | patients with CDAD . | individuals with CDAD,,0,4,0
17293018,NER,participants,patients with C. difficile-associated diarrhea ( CDAD ) | 77 patients with CDAD | patients with CDAD . | individuals with CDAD,patients with c. difficile-associated diarrhea ( cdad | 77 patients with cdad | patients with cdad | individuals with cdad,4,0,0
17293018,LLM,interventions,"whey protein concentrate | whey protein concentrate | immunized against Clostridium difficile ( C. difficile ) and its toxins , toxin A and toxin B | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC | regular whey protein concentrate . | anti-CD WPC | anti-CD WPC | anti-CD WPC",,0,5,0
17293018,NER,interventions,"whey protein concentrate | whey protein concentrate | immunized against Clostridium difficile ( C. difficile ) and its toxins , toxin A and toxin B | anti-C. difficile whey protein concentrate ( anti-CD WPC ) | anti-CD WPC | regular whey protein concentrate . | anti-CD WPC | anti-CD WPC | anti-CD WPC",whey protein concentrate | milk | cows immunized against clostridium difficile | whey protein concentrate | anti-c. difficile whey protein concentrate ( anti-cd wpc | anti-cd wpc | anti | wp | anti cd wp,4,1,4
17293018,LLM,outcomes,"safety | safety | safety | relapse of the infection . | adverse event monitoring , physical examinations , and extensive hematological and biochemical assessments | safe | safe",,0,4,0
17293018,NER,outcomes,"safety | safety | safety | relapse of the infection . | adverse event monitoring , physical examinations , and extensive hematological and biochemical assessments | safe | safe",,0,4,0
26278470,LLM,participants,Obsessive-Compulsive Disorder with Poor Insight : | poor-insight OCD . | patients with OCD with poor insight . | 90 patients with OCD with poor insight | Patients with OCD with poor insight | patients with more extreme poor insight .,patients with OCD with poor insight | patients with obsessive-compulsive disorder ( OCD ) with poor insight,2,4,0
26278470,NER,participants,Obsessive-Compulsive Disorder with Poor Insight : | poor-insight OCD . | patients with OCD with poor insight . | 90 patients with OCD with poor insight | Patients with OCD with poor insight | patients with more extreme poor insight .,obsessive-compulsive disorder with poor insight | obsessive-compulsive disorder ( ocd ) with poor insight | poor | ocd | patients with ocd with poor insight | 90 patients with ocd with poor insight | of patients with the worst insight ( n = 23 | patients with ocd with poor insight | ocd | insight | patients with more extreme poor insight,6,0,3
26278470,LLM,interventions,Inference-Based Approach | Cognitive Behavioral Therapy | inference-based approach ( IBA ) | cognitive behavior therapy ( CBT ) | CBT | IBA | IBA | CBT | CBT | IBA | IBA | CBT,Inference-Based Approach | Cognitive Behavioral Therapy | 24 CBT sessions | 24 IBA sessions,4,2,0
26278470,NER,interventions,Inference-Based Approach | Cognitive Behavioral Therapy | inference-based approach ( IBA ) | cognitive behavior therapy ( CBT ) | CBT | IBA | IBA | CBT | CBT | IBA | IBA | CBT,inference-based approach | cognitive behavioral therapy | inference-based approach ( iba | cognitive behavior therapy ( cbt | cbt sessions | 24 iba sessions | iba | cbt | cbt | iba | ib | cbt,6,0,3
26278470,LLM,outcomes,"effectiveness | effectiveness | effectiveness | Yale-Brown Obsessive Compulsive Scale ( YBOCS ) . | level of insight , anxiety and depressive symptoms , and quality of life . Mixed-effects models | OCD symptom reduction | condition effects | OCD symptom reduction | effective",OCD symptom reduction | level of insight | anxiety and depressive symptoms | quality of life | Yale-Brown Obsessive Compulsive Scale ( YBOCS ),3,3,2
26278470,NER,outcomes,"effectiveness | effectiveness | effectiveness | Yale-Brown Obsessive Compulsive Scale ( YBOCS ) . | level of insight , anxiety and depressive symptoms , and quality of life . Mixed-effects models | OCD symptom reduction | condition effects | OCD symptom reduction | effective",yale-brown obsessive compulsive scale ( ybocs | level of insight anxiety and depressive symptoms and quality of life | ocd symptom reduction | ocd symptom reduction,3,3,0
25886492,LLM,participants,"trial invited 25,511 people aged 50-74 years","people aged 50-74 years | eligible respondents (n = 3,408) | those completing the BS (n = 2270)",1,0,2
25886492,NER,participants,"trial invited 25,511 people aged 50-74 years","australia | 25,511 people aged 50-74 years to complete an eligibility questionnaire . eligible respondents ( n = 3,408 | 2227/2270 of the pp sample | complete bs data | not wanting to screen at baseline | 3",0,1,6
25886492,LLM,interventions,"personalised decision support | tailored computerised decision support | non-tailored computer or paper information . | assigned to Tailored Personalised Decision Support ( TPDS ) , Non-Tailored PDS ( NTPDS ) , or Control | sample ) . TPDS and NTPDS | . The | intervention | CG , 74 % ) | FOBT completion | baseline ( 1083/2227 ) | those assigned to the",personalised decision support delivered via the internet | tailored computerised decision support | non-tailored computer or paper information | Tailored Personalised Decision Support (TPDS) | Non-Tailored PDS (NTPDS) | Control (CG),3,8,3
25886492,NER,interventions,"personalised decision support | tailored computerised decision support | non-tailored computer or paper information . | assigned to Tailored Personalised Decision Support ( TPDS ) , Non-Tailored PDS ( NTPDS ) , or Control | sample ) . TPDS and NTPDS | . The | intervention | CG , 74 % ) | FOBT completion | baseline ( 1083/2227 ) | those assigned to the",personalised decision support | internet | testing | tailored computerised decision support | non-tailored computer or paper information | tailored personalised decision support ( tpds ) non-tailored pds ( ntpds ) or control ( cg | tpds | ntpds | on-line baseline survey ( bs ) and accessed generic information | tp | tailored intervention | paper bs | fobt | endpoint survey | tp | ntp | tp | tp | ntp,7,4,8
25886492,LLM,outcomes,"faecal occult blood test : | faecal occult blood testing ( FOBT ) | FOBT return | on movement in decision to screen | on psychological variables | . RESULTS FOBT | In the PP sample | 80 % ; NTPDS | more likely to | FOBT than those | another ( OR = 1.16 , p = .42 ) | predictors : Analysis of change indicated that salience and",FOBT return within 12 weeks | movement in decision to screen | change on psychological variables | FOBT completion | kit return,3,9,2
25886492,NER,outcomes,"faecal occult blood test : | faecal occult blood testing ( FOBT ) | FOBT return | on movement in decision to screen | on psychological variables | . RESULTS FOBT | In the PP sample | 80 % ; NTPDS | more likely to | FOBT than those | another ( OR = 1.16 , p = .42 ) | predictors : Analysis of change indicated that salience and",fobt return | fo | return | fobt return | fobt completion | fobt | fo,3,9,2
24726342,LLM,participants,"stable COPD patients . | COPD patients | days , 60 COPD patients",,0,3,0
24726342,NER,participants,"stable COPD patients . | COPD patients | days , 60 COPD patients",stable copd patients | copd patients | 60 copd patients,3,0,0
24726342,LLM,interventions,"bronchodilator | tone , bronchodilators | to bronchodilators | after placebo | 300μg indacaterol | functional effect of | closely related to",,0,7,0
24726342,NER,interventions,"bronchodilator | tone , bronchodilators | to bronchodilators | after placebo | 300μg indacaterol | functional effect of | closely related to",placebo | 300 | indacaterol | bronchodilator,3,4,1
24726342,LLM,outcomes,"effects | forced expiratory volume at 1s ( ΔFEV1 ) and forced vital capacity ( ΔFVC ) | decrease dynamic hyperinflation , gas trapping | possibly dyspnea at rest | that specific airway resistance changes ( ΔsRAW ) | underwent dyspnea evaluation ( VAS score ) and pulmonary function testing | RESULTS Spirographic and ΔsRAW-based criteria | changes of intrathoracic gas volume ( ΔITGV ) | p < 0.001 ) , residual volume | p < 0.001 ) | p=0.001 ) | p < 0.001 ) , while | correlated only | in terms | ΔITGV ( p=0.002 ) | ( p=0.023 ) | stratified according | bronchodilator-induced improvements of lung mechanics and",,0,18,0
24726342,NER,outcomes,"effects | forced expiratory volume at 1s ( ΔFEV1 ) and forced vital capacity ( ΔFVC ) | decrease dynamic hyperinflation , gas trapping | possibly dyspnea at rest | that specific airway resistance changes ( ΔsRAW ) | underwent dyspnea evaluation ( VAS score ) and pulmonary function testing | RESULTS Spirographic and ΔsRAW-based criteria | changes of intrathoracic gas volume ( ΔITGV ) | p < 0.001 ) , residual volume | p < 0.001 ) | p=0.001 ) | p < 0.001 ) , while | correlated only | in terms | ΔITGV ( p=0.002 ) | ( p=0.023 ) | stratified according | bronchodilator-induced improvements of lung mechanics and",specific | resistance | dyspnea | sr | intrathoracic gas volume | itgv | residual volume | v | fvc | itgv | rv | vas | dyspnea,8,10,3
20509069,LLM,participants,physical trauma . | 21 hospitalized trauma patients,,0,2,0
20509069,NER,participants,physical trauma . | 21 hospitalized trauma patients,traumatic injuries | 21 hospitalized trauma patients,1,1,1
